SNo.,Origin id,Destination id,Mean time,Standard deviation Time,Geometric mean time,Standard geometric mean time
3554,81,23,3500.53,822.95,3398.71,1.28
3555,81,56,2422.4,577.78,2362.34,1.24
3556,81,11,2014.96,590.03,1948.91,1.28
3557,81,160,1185.98,417.91,1126.77,1.36
3558,81,89,1333.27,525.67,1237.08,1.48
3559,81,84,1728.28,355.17,1696.65,1.21
3560,81,169,2206.13,581.03,2139.77,1.27
3561,81,134,2060.35,672.57,1950.14,1.4
3562,81,33,3929.15,811.69,3854.06,1.21
3563,81,97,3235.69,947.59,3096.28,1.35
3564,81,66,975.34,339.33,935.76,1.31
3565,81,79,697.17,293.9,645.87,1.47
3566,81,129,2746.5,734.17,2659.3,1.28
3567,81,167,2103.0,712.56,2000.62,1.36
3568,81,57,2442.6,419.55,2408.59,1.18
3569,81,119,1927.4,319.3,1901.31,1.18
3570,81,66,890.39,319.79,849.38,1.34
3571,81,113,1705.0,399.27,1663.86,1.24
3572,81,92,841.33,351.39,782.01,1.45
3573,81,11,2624.43,567.18,2568.47,1.23
3574,81,167,1713.91,540.29,1645.9,1.32
3575,81,10,456.07,218.36,404.91,1.73
3576,81,135,1585.26,556.01,1502.7,1.38
3577,81,68,2120.63,566.98,2051.12,1.29
3578,81,45,1464.24,412.62,1415.9,1.29
3579,81,179,3179.79,722.81,3103.78,1.24
3580,81,142,1635.57,456.15,1583.2,1.28
3581,81,101,1212.51,386.69,1159.94,1.34
3582,81,48,2479.08,527.27,2430.51,1.22
3583,81,57,1724.56,616.01,1640.08,1.35
3584,81,119,1724.36,480.58,1663.88,1.3
3585,81,106,2757.62,665.68,2682.34,1.26
3586,81,12,4065.26,796.1,3986.54,1.22
3587,81,120,1943.83,492.21,1880.58,1.3
3588,81,73,1806.98,593.54,1729.95,1.33
3589,81,83,1289.43,411.22,1247.56,1.27
3590,81,74,1612.75,562.82,1524.08,1.4
3591,81,84,1776.5,371.96,1743.42,1.21
3592,81,137,1887.17,636.5,1798.38,1.35
3593,81,160,1302.04,404.46,1252.65,1.31
3594,81,84,1083.97,364.61,1030.69,1.38
3595,81,168,1325.41,360.63,1285.84,1.27
3596,81,60,2049.53,431.59,1997.16,1.27
3597,81,171,1582.53,502.54,1514.12,1.34
3598,81,115,3361.37,791.3,3282.3,1.24
